Age Group,Annual Income,Education,Occupation,Leisure Travel Frequency,Business Travel Frequency,Preferred Hotel Type,Advance Booking Days,Stay Length (Nights),ADR Budget,Booking Priority,Use Price Comparison,Trust AI,Price Prediction Importance,Desired Features,Platforms Used,Booking Challenges,Booking Device,Subscription Willingness,Use Bundle Feature,Pay More for Sustainability,Refer Platform,Booking Motivation 1,Booking Motivation 2,Delayed Booking for Drop,Additional Features
25–34,207663,High School,Business Owner,Once a year,Occasionally,No Preference,8–14 days,6–10,4000–7000,Best amenities,Never,Maybe,Extremely Important,Targeted discount alerts,"Booking.com, MakeMyTrip, Others, Agoda","Poor UI/UX, Booking too late",Desktop Website,₹99,Probably Not,No,Not Likely,Brand name,Brand name,No,Early check-in
25–34,33794,Master’s Degree,Working Professional,Monthly or more,Monthly,Resort Hotel,4–7 days,1,7000–10000,Lowest price,Sometimes,Yes,Extremely Important,"Hotel comparison engine, Personalized stay duration suggestions","Booking.com, Agoda, OYO, Airbnb",Booking too late,Mobile App,₹99,Never,"Yes, definitely",Maybe,Brand name,Price,Yes,
35–44,387711,Bachelor’s Degree,Retired,Every quarter,Monthly,City Hotel,15+ days,3–5,2000–4000,Balanced,Always,Yes,Not Important,"Real-time price predictions, Hotel comparison engine, Personalized stay duration suggestions, Customer reviews",Goibibo,Booking too late,Travel Agent,₹0,Unsure,Only if price difference is small,Not Likely,Price,Brand name,Yes,AI chatbot
18–24,191914,Bachelor’s Degree,Business Owner,Rarely,1–2 times a quarter,Resort Hotel,8–14 days,2,4000–7000,Balanced,Always,Yes,Not Important,"Personalized stay duration suggestions, Customer reviews, Targeted discount alerts","Booking.com, Airbnb",Lack of transparent pricing,Travel Agent,₹0,Probably,"Yes, definitely",Not Likely,Location,Amenities,Yes,AI chatbot
25–34,1085680,Master’s Degree,Other,Monthly or more,1–2 times a quarter,No Preference,8–14 days,3–5,2000–4000,Balanced,Always,No,Extremely Important,"Targeted discount alerts, Customer reviews","MakeMyTrip, Booking.com, Goibibo, Agoda",Booking too late,Desktop Website,₹99,Never,No,Absolutely,Reviews,Amenities,No,
25–34,132607,Bachelor’s Degree,Other,Rarely,Occasionally,Resort Hotel,8–14 days,1,7000–10000,Lowest price,Never,No,Somewhat Important,"Real-time price predictions, Hotel comparison engine",Airbnb,Limited deals,Mobile App,Depends on the savings,Probably Not,No,Absolutely,Reviews,Brand name,Yes,Loyalty rewards
25–34,1020490,High School,Retired,Once a year,1–2 times a quarter,Resort Hotel,8–14 days,More than 10,7000–10000,Balanced,Never,Maybe,Somewhat Important,Personalized stay duration suggestions,Agoda,"Booking too late, Limited deals",Travel Agent,₹199,Unsure,Only if price difference is small,Not Likely,Price,Location,Yes,Early check-in
45–54,1038528,Bachelor’s Degree,Freelancer,Every quarter,1–2 times a quarter,No Preference,4–7 days,2,4000–7000,Balanced,Never,Maybe,Somewhat Important,Hotel comparison engine,"Goibibo, OYO, Booking.com, Others","Poor UI/UX, Booking too late, Hidden charges",Desktop Website,₹0,Never,Only if price difference is small,Absolutely,Reviews,Price,Yes,Early check-in
25–34,1398995,PhD or Higher,Other,Rarely,1–2 times a quarter,City Hotel,15+ days,6–10,4000–7000,Lowest price,Rarely,Maybe,Neutral,"Real-time price predictions, Personalized stay duration suggestions","Others, Agoda, Booking.com, Airbnb","Poor UI/UX, Prices fluctuate too much",Mobile App,₹0,Probably,No,Absolutely,Price,Brand name,No,AI chatbot
25–34,3091097,Master’s Degree,Freelancer,Monthly or more,Monthly,City Hotel,15+ days,3–5,7000–10000,Balanced,Always,Yes,Extremely Important,Real-time price predictions,Airbnb,"Limited deals, Poor UI/UX, Prices fluctuate too much",Desktop Website,₹199,Unsure,"Yes, definitely",Absolutely,Reviews,Price,Yes,AI chatbot
35–44,728762,Master’s Degree,Freelancer,Once a year,Occasionally,Resort Hotel,Same day,More than 10,2000–4000,Balanced,Rarely,Yes,Not Important,"Customer reviews, Hotel comparison engine, Personalized stay duration suggestions, Real-time price predictions","Others, Goibibo","Hidden charges, Poor UI/UX, Prices fluctuate too much",Mobile App,₹0,Probably Not,"Yes, definitely",Absolutely,Reviews,Brand name,No,Early check-in
18–24,326843,Master’s Degree,Freelancer,Once a year,Monthly,No Preference,8–14 days,3–5,2000–4000,Balanced,Always,Yes,Neutral,"Customer reviews, Personalized stay duration suggestions",OYO,"Lack of transparent pricing, Prices fluctuate too much",Desktop Website,Depends on the savings,Definitely,No,Not Likely,Brand name,Amenities,Yes,AI chatbot
35–44,1034457,Bachelor’s Degree,Student,Monthly or more,Weekly,Resort Hotel,8–14 days,6–10,4000–7000,Lowest price,Always,Maybe,Neutral,"Targeted discount alerts, Hotel comparison engine","Booking.com, Others","Prices fluctuate too much, Poor UI/UX",Desktop Website,₹0,Probably,Only if price difference is small,Absolutely,Price,Location,No,
25–34,731098,Bachelor’s Degree,Business Owner,Monthly or more,Monthly,Resort Hotel,Same day,1,2000–4000,Lowest price,Sometimes,No,Not Important,"Real-time price predictions, Personalized stay duration suggestions, Targeted discount alerts","OYO, Others, Airbnb, Booking.com",Lack of transparent pricing,Travel Agent,₹0,Unsure,No,Absolutely,Reviews,Price,No,
18–24,273534,Master’s Degree,Business Owner,Rarely,Weekly,Resort Hotel,15+ days,3–5,2000–4000,Balanced,Always,Yes,Extremely Important,Targeted discount alerts,"MakeMyTrip, Others, Goibibo, Booking.com","Poor UI/UX, Prices fluctuate too much, Limited deals",Travel Agent,₹99,Never,Only if price difference is small,Maybe,Location,Location,Yes,Loyalty rewards
55+,136414,Bachelor’s Degree,Other,2–3 times a year,Never,No Preference,1–3 days,6–10,7000–10000,Balanced,Never,Yes,Neutral,"Targeted discount alerts, Real-time price predictions, Hotel comparison engine","Agoda, Others, MakeMyTrip","Booking too late, Limited deals, Lack of transparent pricing",Desktop Website,Depends on the savings,Never,"Yes, definitely",Not Likely,Price,Amenities,Yes,
55+,218959,Bachelor’s Degree,Other,Once a year,Never,No Preference,1–3 days,2,4000–7000,Lowest price,Never,Yes,Extremely Important,Customer reviews,"MakeMyTrip, Others, Booking.com, Airbnb","Prices fluctuate too much, Limited deals, Hidden charges",Mobile App,Depends on the savings,Unsure,Only if price difference is small,Absolutely,Price,Reviews,No,
45–54,175707,Bachelor’s Degree,Freelancer,Rarely,Weekly,City Hotel,15+ days,1,2000–4000,Balanced,Never,No,Extremely Important,Customer reviews,"Goibibo, Airbnb, MakeMyTrip","Booking too late, Hidden charges, Lack of transparent pricing",Mobile App,₹99,Never,"Yes, definitely",Maybe,Price,Reviews,No,Late check-out
25–34,21502,Bachelor’s Degree,Student,Monthly or more,Weekly,No Preference,8–14 days,3–5,2000–4000,Lowest price,Sometimes,Yes,Extremely Important,Real-time price predictions,Others,Prices fluctuate too much,Mobile App,₹299+,Unsure,No,Absolutely,Brand name,Price,No,AI chatbot
18–24,2199988,Other,Freelancer,Rarely,Monthly,Resort Hotel,1–3 days,6–10,2000–4000,Balanced,Sometimes,Yes,Not Important,"Customer reviews, Personalized stay duration suggestions",Airbnb,Poor UI/UX,Mobile App,₹199,Probably,Only if price difference is small,Not Likely,Price,Amenities,Yes,Early check-in
35–44,242519,High School,Student,Monthly or more,Weekly,Resort Hotel,4–7 days,3–5,2000–4000,Lowest price,Rarely,Maybe,Extremely Important,"Hotel comparison engine, Real-time price predictions, Personalized stay duration suggestions, Targeted discount alerts","Booking.com, Goibibo","Poor UI/UX, Limited deals",Mobile App,Depends on the savings,Never,"Yes, definitely",Maybe,Brand name,Price,Yes,AI chatbot
25–34,123112,Bachelor’s Degree,Freelancer,Every quarter,Occasionally,City Hotel,4–7 days,3–5,2000–4000,Best amenities,Always,Maybe,Neutral,Hotel comparison engine,"Goibibo, Booking.com, Others",Limited deals,Travel Agent,₹299+,Probably,Only if price difference is small,Maybe,Location,Price,Yes,Loyalty rewards
18–24,771696,Bachelor’s Degree,Working Professional,Monthly or more,Never,No Preference,Same day,2,4000–7000,Best amenities,Always,Yes,Not Important,"Customer reviews, Targeted discount alerts, Personalized stay duration suggestions","OYO, Agoda, MakeMyTrip, Airbnb",Hidden charges,Desktop Website,₹199,Probably Not,"Yes, definitely",Not Likely,Amenities,Price,Yes,
25–34,270282,Other,Working Professional,Monthly or more,Never,Resort Hotel,15+ days,1,2000–4000,Lowest price,Never,Yes,Not Important,Hotel comparison engine,Agoda,"Limited deals, Booking too late",Travel Agent,Depends on the savings,Probably Not,"Yes, definitely",Maybe,Brand name,Location,Yes,Late check-out
18–24,1447780,Bachelor’s Degree,Retired,Monthly or more,Weekly,City Hotel,15+ days,6–10,2000–4000,Best amenities,Never,Maybe,Neutral,"Real-time price predictions, Customer reviews","Booking.com, Goibibo, Agoda, OYO","Booking too late, Hidden charges, Limited deals",Mobile App,₹0,Probably Not,No,Maybe,Reviews,Brand name,No,
45–54,475197,Bachelor’s Degree,Freelancer,2–3 times a year,1–2 times a quarter,City Hotel,1–3 days,1,2000–4000,Balanced,Never,Yes,Not Important,"Real-time price predictions, Targeted discount alerts, Personalized stay duration suggestions","Airbnb, OYO","Booking too late, Prices fluctuate too much",Desktop Website,Depends on the savings,Probably Not,No,Absolutely,Price,Amenities,No,AI chatbot
25–34,2364722,Master’s Degree,Other,Monthly or more,1–2 times a quarter,Resort Hotel,8–14 days,3–5,>10000,Lowest price,Never,No,Neutral,"Customer reviews, Real-time price predictions",Booking.com,"Booking too late, Prices fluctuate too much",Mobile App,₹199,Never,Only if price difference is small,Maybe,Amenities,Location,No,
35–44,1430004,Master’s Degree,Business Owner,Once a year,Weekly,Resort Hotel,15+ days,6–10,2000–4000,Lowest price,Never,Maybe,Somewhat Important,"Personalized stay duration suggestions, Customer reviews, Hotel comparison engine","Airbnb, Goibibo, Others",Booking too late,Mobile App,₹299+,Unsure,"Yes, definitely",Not Likely,Brand name,Brand name,No,
25–34,467911,Bachelor’s Degree,Retired,Once a year,Occasionally,No Preference,1–3 days,2,<2000,Balanced,Never,Yes,Neutral,Real-time price predictions,"Booking.com, Airbnb","Booking too late, Prices fluctuate too much, Poor UI/UX",Desktop Website,₹0,Never,No,Absolutely,Reviews,Price,No,
35–44,131117,Bachelor’s Degree,Other,Rarely,1–2 times a quarter,City Hotel,1–3 days,3–5,<2000,Balanced,Always,Yes,Not Important,"Personalized stay duration suggestions, Targeted discount alerts, Real-time price predictions, Hotel comparison engine","OYO, Others, Airbnb",Limited deals,Mobile App,₹199,Never,Only if price difference is small,Maybe,Amenities,Reviews,No,Loyalty rewards
35–44,124542,Bachelor’s Degree,Working Professional,2–3 times a year,Weekly,Resort Hotel,15+ days,1,4000–7000,Lowest price,Sometimes,Yes,Neutral,Customer reviews,"Booking.com, Airbnb","Hidden charges, Poor UI/UX, Prices fluctuate too much",Travel Agent,₹199,Probably,No,Absolutely,Location,Location,Yes,Early check-in
25–34,756120,Bachelor’s Degree,Freelancer,Rarely,Occasionally,City Hotel,1–3 days,3–5,4000–7000,Balanced,Never,Yes,Somewhat Important,"Real-time price predictions, Hotel comparison engine","MakeMyTrip, Others, Booking.com, Airbnb",Lack of transparent pricing,Travel Agent,Depends on the savings,Unsure,Only if price difference is small,Not Likely,Brand name,Amenities,No,AI chatbot
55+,29791,Bachelor’s Degree,Retired,Once a year,Occasionally,No Preference,Same day,2,2000–4000,Lowest price,Always,No,Extremely Important,"Hotel comparison engine, Personalized stay duration suggestions",OYO,Booking too late,Travel Agent,₹99,Definitely,No,Maybe,Brand name,Amenities,Yes,AI chatbot
45–54,1076160,Bachelor’s Degree,Freelancer,Once a year,Monthly,Resort Hotel,Same day,3–5,2000–4000,Balanced,Never,No,Extremely Important,Real-time price predictions,"Goibibo, Others",Limited deals,Mobile App,₹99,Definitely,No,Not Likely,Location,Brand name,Yes,Late check-out
55+,2640024,Bachelor’s Degree,Working Professional,Every quarter,Occasionally,No Preference,15+ days,2,<2000,Lowest price,Rarely,Yes,Extremely Important,"Targeted discount alerts, Customer reviews, Hotel comparison engine, Real-time price predictions","Goibibo, Agoda","Poor UI/UX, Hidden charges",Travel Agent,₹0,Unsure,"Yes, definitely",Not Likely,Brand name,Location,Yes,AI chatbot
45–54,252290,Bachelor’s Degree,Retired,Monthly or more,1–2 times a quarter,City Hotel,8–14 days,3–5,4000–7000,Balanced,Rarely,Yes,Not Important,"Real-time price predictions, Customer reviews, Targeted discount alerts, Hotel comparison engine",Booking.com,"Booking too late, Poor UI/UX",Mobile App,₹199,Definitely,"Yes, definitely",Maybe,Price,Price,Yes,Early check-in
35–44,595397,Master’s Degree,Working Professional,Once a year,1–2 times a quarter,No Preference,Same day,3–5,4000–7000,Balanced,Always,Yes,Somewhat Important,Hotel comparison engine,"MakeMyTrip, Others, Agoda","Hidden charges, Limited deals",Mobile App,₹299+,Unsure,No,Maybe,Brand name,Brand name,No,Loyalty rewards
55+,845956,Other,Student,Rarely,Weekly,No Preference,Same day,2,<2000,Best amenities,Sometimes,Yes,Neutral,"Customer reviews, Real-time price predictions","OYO, Agoda, Goibibo","Limited deals, Prices fluctuate too much",Travel Agent,₹0,Probably,"Yes, definitely",Absolutely,Price,Amenities,No,Early check-in
18–24,126683,Master’s Degree,Working Professional,Rarely,Weekly,City Hotel,15+ days,3–5,<2000,Best amenities,Rarely,Maybe,Neutral,"Targeted discount alerts, Customer reviews",Others,"Limited deals, Lack of transparent pricing",Travel Agent,₹0,Probably,No,Not Likely,Brand name,Location,Yes,AI chatbot
25–34,449397,High School,Freelancer,Monthly or more,Occasionally,No Preference,4–7 days,2,<2000,Best amenities,Rarely,Yes,Neutral,"Personalized stay duration suggestions, Targeted discount alerts","Agoda, MakeMyTrip, Others, Airbnb","Limited deals, Hidden charges",Mobile App,Depends on the savings,Never,Only if price difference is small,Maybe,Reviews,Reviews,Yes,
18–24,47972,High School,Business Owner,Monthly or more,Never,City Hotel,1–3 days,3–5,<2000,Balanced,Sometimes,No,Neutral,"Customer reviews, Hotel comparison engine",MakeMyTrip,"Hidden charges, Poor UI/UX, Booking too late",Mobile App,₹299+,Definitely,No,Not Likely,Reviews,Price,No,
25–34,154350,Other,Working Professional,Every quarter,Monthly,Resort Hotel,Same day,2,4000–7000,Lowest price,Rarely,Yes,Not Important,"Customer reviews, Real-time price predictions, Personalized stay duration suggestions, Hotel comparison engine","Booking.com, MakeMyTrip, Agoda","Lack of transparent pricing, Poor UI/UX",Mobile App,₹199,Unsure,No,Maybe,Amenities,Amenities,No,
25–34,1097979,Bachelor’s Degree,Other,2–3 times a year,Never,City Hotel,4–7 days,3–5,2000–4000,Balanced,Never,Maybe,Not Important,"Customer reviews, Real-time price predictions","Booking.com, MakeMyTrip, Others","Limited deals, Lack of transparent pricing, Booking too late",Mobile App,₹199,Probably,Only if price difference is small,Not Likely,Reviews,Location,No,
25–34,990713,High School,Business Owner,Rarely,Occasionally,City Hotel,8–14 days,2,2000–4000,Best amenities,Sometimes,No,Somewhat Important,"Hotel comparison engine, Personalized stay duration suggestions",Goibibo,Lack of transparent pricing,Travel Agent,₹199,Never,Only if price difference is small,Absolutely,Location,Reviews,Yes,Early check-in
45–54,532456,Master’s Degree,Student,Monthly or more,Occasionally,Resort Hotel,4–7 days,3–5,2000–4000,Balanced,Rarely,Yes,Neutral,"Real-time price predictions, Customer reviews, Personalized stay duration suggestions","MakeMyTrip, OYO, Others, Goibibo","Booking too late, Hidden charges",Mobile App,₹0,Definitely,"Yes, definitely",Not Likely,Amenities,Amenities,No,AI chatbot
25–34,45502,Master’s Degree,Retired,Rarely,Never,City Hotel,15+ days,2,>10000,Best amenities,Sometimes,Yes,Extremely Important,"Hotel comparison engine, Personalized stay duration suggestions",Others,"Hidden charges, Prices fluctuate too much, Limited deals",Mobile App,Depends on the savings,Definitely,Only if price difference is small,Maybe,Reviews,Reviews,No,Late check-out
25–34,233156,Master’s Degree,Retired,Monthly or more,Monthly,Resort Hotel,8–14 days,3–5,7000–10000,Best amenities,Never,Yes,Not Important,Hotel comparison engine,Others,"Lack of transparent pricing, Poor UI/UX, Hidden charges",Mobile App,₹0,Definitely,"Yes, definitely",Absolutely,Price,Amenities,Yes,Loyalty rewards
35–44,642627,Bachelor’s Degree,Business Owner,Once a year,Never,Resort Hotel,8–14 days,2,2000–4000,Lowest price,Rarely,Yes,Somewhat Important,"Hotel comparison engine, Personalized stay duration suggestions, Real-time price predictions","OYO, Agoda",Booking too late,Mobile App,₹99,Probably,No,Absolutely,Brand name,Brand name,Yes,AI chatbot
18–24,42259,High School,Retired,Rarely,Weekly,City Hotel,4–7 days,6–10,2000–4000,Lowest price,Always,No,Somewhat Important,"Customer reviews, Targeted discount alerts",Goibibo,Poor UI/UX,Mobile App,₹99,Probably,Only if price difference is small,Maybe,Reviews,Brand name,No,
45–54,574835,Other,Working Professional,Once a year,1–2 times a quarter,No Preference,15+ days,6–10,2000–4000,Best amenities,Rarely,No,Not Important,"Real-time price predictions, Personalized stay duration suggestions","MakeMyTrip, Others","Limited deals, Hidden charges",Desktop Website,₹199,Definitely,No,Absolutely,Price,Brand name,Yes,AI chatbot
18–24,952599,Bachelor’s Degree,Business Owner,Rarely,Weekly,No Preference,Same day,2,2000–4000,Best amenities,Rarely,No,Extremely Important,"Targeted discount alerts, Personalized stay duration suggestions, Customer reviews, Real-time price predictions",Agoda,Limited deals,Desktop Website,Depends on the savings,Probably,"Yes, definitely",Not Likely,Amenities,Location,Yes,AI chatbot
55+,327527,Master’s Degree,Freelancer,2–3 times a year,1–2 times a quarter,Resort Hotel,4–7 days,3–5,<2000,Balanced,Never,No,Extremely Important,Personalized stay duration suggestions,Airbnb,"Limited deals, Hidden charges, Poor UI/UX",Desktop Website,₹199,Definitely,Only if price difference is small,Not Likely,Brand name,Brand name,Yes,Early check-in
45–54,870573,Master’s Degree,Working Professional,Every quarter,Occasionally,No Preference,Same day,1,4000–7000,Best amenities,Always,Yes,Neutral,"Hotel comparison engine, Targeted discount alerts, Real-time price predictions","Goibibo, Airbnb, MakeMyTrip","Booking too late, Limited deals, Lack of transparent pricing",Travel Agent,₹199,Probably Not,"Yes, definitely",Maybe,Reviews,Location,Yes,Loyalty rewards
25–34,566626,Master’s Degree,Working Professional,Once a year,Monthly,No Preference,4–7 days,3–5,4000–7000,Balanced,Always,No,Not Important,"Customer reviews, Hotel comparison engine","MakeMyTrip, Goibibo",Poor UI/UX,Mobile App,₹0,Probably,"Yes, definitely",Not Likely,Amenities,Price,Yes,AI chatbot
Under 18,155324,Bachelor’s Degree,Working Professional,Monthly or more,Never,City Hotel,Same day,3–5,7000–10000,Best amenities,Always,No,Extremely Important,"Personalized stay duration suggestions, Real-time price predictions","OYO, Others, MakeMyTrip, Agoda","Hidden charges, Prices fluctuate too much, Booking too late",Travel Agent,₹199,Unsure,Only if price difference is small,Maybe,Reviews,Brand name,No,
45–54,798325,Bachelor’s Degree,Freelancer,2–3 times a year,Monthly,Resort Hotel,4–7 days,3–5,2000–4000,Lowest price,Never,Yes,Not Important,"Hotel comparison engine, Personalized stay duration suggestions, Customer reviews","OYO, Goibibo, Booking.com, Airbnb",Prices fluctuate too much,Mobile App,₹199,Probably,Only if price difference is small,Absolutely,Amenities,Location,No,AI chatbot
35–44,950502,Master’s Degree,Student,Rarely,Never,Resort Hotel,8–14 days,3–5,7000–10000,Lowest price,Never,Yes,Somewhat Important,"Real-time price predictions, Customer reviews, Targeted discount alerts, Hotel comparison engine","Goibibo, Agoda, MakeMyTrip","Hidden charges, Prices fluctuate too much",Desktop Website,Depends on the savings,Definitely,"Yes, definitely",Not Likely,Reviews,Amenities,No,Early check-in
35–44,616122,Master’s Degree,Other,Once a year,Weekly,City Hotel,1–3 days,2,4000–7000,Best amenities,Never,Maybe,Somewhat Important,Hotel comparison engine,"OYO, Goibibo, Agoda, Others","Booking too late, Hidden charges, Limited deals",Mobile App,Depends on the savings,Unsure,Only if price difference is small,Maybe,Price,Location,No,Loyalty rewards
45–54,597789,PhD or Higher,Retired,Rarely,Weekly,No Preference,8–14 days,3–5,<2000,Balanced,Never,Yes,Somewhat Important,"Real-time price predictions, Customer reviews, Hotel comparison engine, Targeted discount alerts","Booking.com, Agoda, Goibibo, Airbnb","Prices fluctuate too much, Limited deals",Travel Agent,Depends on the savings,Never,"Yes, definitely",Not Likely,Location,Location,No,
18–24,481968,Bachelor’s Degree,Business Owner,Rarely,Never,Resort Hotel,Same day,2,2000–4000,Balanced,Never,Yes,Not Important,Customer reviews,"MakeMyTrip, Goibibo","Hidden charges, Poor UI/UX, Booking too late",Travel Agent,₹199,Unsure,No,Absolutely,Price,Amenities,Yes,
25–34,86347,Bachelor’s Degree,Student,Rarely,Monthly,No Preference,15+ days,3–5,2000–4000,Balanced,Always,No,Neutral,Customer reviews,"Agoda, Goibibo, Others, MakeMyTrip","Prices fluctuate too much, Poor UI/UX",Mobile App,Depends on the savings,Unsure,No,Absolutely,Brand name,Location,No,Loyalty rewards
